,age,detailQuestion,level1Name,level2Name,question,sex
0,20岁,我是过敏体质，类似于荨麻疹的症状，之前就是突然间全身就起疙瘩，过一段时间消退，脸上也是红痒，这次是早上一觉睡醒，双眼皮红肿痒，睫毛根处很痒，全脸红肿，而且还紧绷，吃了抗过敏的药，但是没怎么有效果，我想知道是过敏引起的还是说肾功能方面有问题,内科,内分泌,双眼皮红肿痒，全脸红肿痒，去医院查什么,女
1,24岁,汗多体虚干重活腰疼怎么治疗，该吃什么药,内科,内分泌,汗多体虚干重活腰疼怎么治疗，该吃什么药,男
2,40岁,我的内分泌比较乱，而且会出现偏头痛的现象，有老人告诉我，内分泌紊乱也会出现偏头痛，我想知道这是真的吗,内科,内分泌,内分泌紊乱会造成偏头痛吗,女
3,35岁,我是一个低血糖患者，经常头晕，请问在出现头晕的时候可以喝葡萄汁缓解吗？,内科,内分泌,低血糖时喝葡萄汁能缓解头晕吗,男
4,22岁,我就肥胖一直不好，去看了医生，发现是单纯性肥胖，这是怎么引起的？,内科,内分泌,单纯性肥胖症是怎么引起的,男
5,34岁,我体重一直在往上走，身体还总是出汗，我妈说这是肥胖症，肥胖症的主要表现有哪些？,内科,内分泌,肥胖症的主要表现有哪些,男
6,43岁,我的体重不断的在增加，医生说是因为迟发性肥胖症引起的，可这种肥胖症时怎么发生的？,内科,内分泌,迟发性肥胖症是什么因素引发,女
7,26岁,这段时间经常出现头晕，去医院检查发现自己得了低血糖，那低血糖为什么会出现头晕呢？,内科,内分泌,低血糖为什么会头晕呢,女
8,32岁,我媳妇最近在减肥，面色苍白，而且明显没有力气，面色苍白是低血糖的表现吗？,内科,内分泌,面色苍白是低血糖的表现吗,女
9,22岁,肚子最近大了一圈，想减肥，请问山楂治疗肥胖症吗？,内科,内分泌,山楂治疗肥胖症吗,男
10,36岁,前段时间总是大吃大喝，身上长了很多肉。肥胖症要如何预防？,内科,内分泌,肥胖症要如何预防,女
11,29岁,我最近到医院检查，医生说可能是由于缺乏维生素D引起的肥胖症，那维生素D与肥胖症有什么联系？,内科,内分泌,维生素D与肥胖症有什么联系,女
12,32岁,我的胖非常的难减下来，注意饮食一个月了都没有瘦多少，不知道结实型肥胖吃些什么能瘦？,内科,内分泌,结实型肥胖症吃什么能瘦,男
13,45岁,老公从电脑上看到茴香有减肥的作用，所以平常的时候让我吃些茴香，吃茴香能减少肥胖症出现吗？,内科,内分泌,吃茴香能减少肥胖症吗,女
14,32岁,我得了严重的肥胖症，现在非常注重饮食，什么也不敢吃，我这种情况能吃茯苓豆腐吗？,内科,内分泌,肥胖症患者可以吃茯苓豆腐吗,男
15,13岁,孩子不喜欢喝水，但是经常喝饮料，常喝饮料会有肥胖症吗？,内科,内分泌,常喝饮料会有肥胖症吗,女
16,26岁,我经常犯低血糖，严重的时候还感觉恶心，该怎么办才好？,内科,内分泌,低血糖恶心该怎么办,男
17,25岁,我身体容易发胖，喝点水都会长肉，很难瘦下来，我这种体质吃苦瓜可以吗？,内科,内分泌,肥胖症患者能吃苦瓜吗,女
18,16岁,孩子今年才16岁就得了肥胖症，都不敢给他吃太多，听说常吃西红柿能治这病，是真的吗？,内科,内分泌,吃西红柿能治疗肥胖症吗,男
